main_topic,description_1,bill_link,bill_name,current_status,first_house_progress,second_house_progress,after_passage_progress,description_2,sponsors,requester,democrat_sponsor_count,republican_sponsor_count
COVID-19 AND CORONAVIRUS,"Emergency orders, duration of, and role of legislature",https://app.leg.wa.gov/billsummary?BillNumber=1020&Year=2021&Initiative=false,HB 1020,HState Govt & T,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning the emergency powers of the governor.,"Klippert, Walsh, Boehnke, Eslick, Caldier, Young, Graham, Kirby, Barkis, Schmick",No Requester,1,9
COVID-19 AND CORONAVIRUS,"Emergency orders, duration of, and role of legislature",https://app.leg.wa.gov/billsummary?BillNumber=5039&Year=2021&Initiative=false,SB 5039,SState Govt & E,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Subjecting all gubernatorial emergency orders to legislative approval after thirty days.,"Linda Wilson, Mullet, Braun, Brown, Dozier, Fortunato, Gildon, Hawkins, Holy, Honeyford, King, McCune, Muzzall, Schoesler, Short, Van De Wege, Wagoner, Warnick, Jeff Wilson",No Requester,3,17
COVID-19 AND CORONAVIRUS,"Emergency orders, health-related measures in, right to decline",https://app.leg.wa.gov/billsummary?BillNumber=1305&Year=2021&Initiative=false,HB 1305,HHC/Wellness,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning the right to refuse vaccines and health-related measures.,"Kraft, Young, Sutherland, Eslick, Chase",No Requester,0,5
COVID-19 AND CORONAVIRUS,"Emergency orders, health-related measures in, right to decline",https://app.leg.wa.gov/billsummary?BillNumber=1317&Year=2021&Initiative=false,HB 1317,HHC/Wellness,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning an individual's right to refuse health-related measures.,"Young, Kraft, Chase, Sutherland",No Requester,0,4
COVID-19 AND CORONAVIRUS,"Emergency orders, issued by governor, actions to determine validity of, declaratory and other relief",https://app.leg.wa.gov/billsummary?BillNumber=1563&Year=2021&Initiative=false,HB 1563,HCivil R & Judi,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning declaratory and other relief in actions to determine the validity of certain gubernatorial orders.,"Young, Barkis, Sutherland, Dent",No Requester,0,4
COVID-19 AND CORONAVIRUS,"Emergency orders, issued by governor, agency rule making to enforce, legislative approval before",https://app.leg.wa.gov/billsummary?BillNumber=5100&Year=2021&Initiative=false,SB 5100,SState Govt & E,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Prohibiting the adoption of rules for the enforcement of gubernatorial emergency orders without legislative approval.,Fortunato,No Requester,0,1
COVID-19 AND CORONAVIRUS,"Emergency orders, issued by governor, construction/certain operations permits exemption during, when",https://app.leg.wa.gov/billsummary?BillNumber=1436&Year=2021&Initiative=false,HB 1436,HState Govt & T,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Encouraging economic recovery by reducing regulatory burdens during declared public health crises.,"Walsh, Sutherland, Graham, Young, Volz, Mosbrucker, Boehnke, Chase, Barkis, Eslick, Dent, Jacobsen, Kraft",No Requester,0,13
COVID-19 AND CORONAVIRUS,"Emergency orders, issued by governor, duration of, and role of legislature",https://app.leg.wa.gov/billsummary?BillNumber=1557&Year=2021&Initiative=false,HB 1557,HState Govt & T,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Increasing legislative involvement in gubernatorial proclamations relating to a state of emergency.,"MacEwen, Chapman, Boehnke, Jacobsen, Ybarra, Dufault, Dent, Robertson, Goehner, Stokesbary, Griffey, Corry, Orcutt, Klicker, Young, Paul",No Requester,2,14
COVID-19 AND CORONAVIRUS,"Emergency orders, issued by governor, duration of, and role of legislature",https://app.leg.wa.gov/billsummary?BillNumber=5943&Year=2021&Initiative=false,SB 5943,SState Govt & E,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Establishing balanced legislative oversight of gubernatorial powers during a declared emergency.,"Linda Wilson, Mullet, Braun, Dozier, Fortunato, Gildon, Holy, King, Padden, Rivers, Short, Wagoner, Warnick, Jeff Wilson",No Requester,2,13
COVID-19 AND CORONAVIRUS,"Emergency orders, issued by governor, eviction moratorium, limiting rent increases after expiration of",https://app.leg.wa.gov/billsummary?BillNumber=5139&Year=2021&Initiative=false,SB 5139,SHousing & Loca,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Limiting rent increases after expiration of the governor's eviction moratorium.,"Das, Lovelett, Darneille, Hunt, Liias, Nguyen, Claire Wilson",No Requester,6,2
COVID-19 AND CORONAVIRUS,"Emergency orders, issued by governor, eviction moratorium, suspending, and aiding tenants and landlords",https://app.leg.wa.gov/billsummary?BillNumber=1228&Year=2021&Initiative=false,HB 1228,"HHous, Human Sv","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Addressing residential landlord-tenant requirements in response to the COVID-19 public health emergency.,"Barkis, Walen, Dent, Hoff, Jacobsen, Chambers, Ryu, Graham, Ybarra, Caldier, MacEwen, Walsh, Chapman, Boehnke, Dolan, Springer, Chandler, Eslick, Robertson, Gilday",No Requester,5,15
COVID-19 AND CORONAVIRUS,"Emergency orders, issued by governor, eviction moratorium, tenant protections in relation to",https://app.leg.wa.gov/billsummary?BillNumber=1441&Year=2021&Initiative=false,HB 1441,HRules X,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Prohibiting discrimination against prospective tenants for unpaid rent or eviction during the COVID-19 pandemic.,"Morgan, Macri, Simmons, Berry, Jesse Johnson, Davis, Valdez, Taylor, Wicks, Fitzgibbon, Ramel, Bergquist, Chopp, Gregerson, Peterson, Ormsby, Pollet, Hackney, Thai, Berg, Harris-Talley",No Requester,21,1
COVID-19 AND CORONAVIRUS,"Emergency orders, issued by governor, eviction moratorium, tenant protections in relation to",https://app.leg.wa.gov/billsummary?BillNumber=5160&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SSB 5160,C 115 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Addressing landlord-tenant relations by providing certain tenant protections during and after public health emergencies, providing for legal representation in eviction cases, and authorizing landlord access to state rental assistance programs.","Kuderer, Liias, Conway, Das, Lovelett, Saldaña, Claire Wilson",No Requester,7,2
COVID-19 AND CORONAVIRUS,"Emergency orders, issued by governor, eviction moratorium, tenant protections in relation to",https://app.leg.wa.gov/billsummary?BillNumber=5160&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SSB 5160,C 115 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Addressing landlord-tenant relations by providing certain tenant protections during and after public health emergencies, providing for legal representation in eviction cases, and authorizing landlord access to state rental assistance programs.","Kuderer, Liias, Conway, Das, Lovelett, Saldaña, Claire Wilson",No Requester,7,2
COVID-19 AND CORONAVIRUS,"Emergency orders, issued by governor, eviction moratorium, tenant protections in relation to",https://app.leg.wa.gov/billsummary?BillNumber=5160&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SSB 5160,C 115 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Addressing landlord-tenant relations by providing certain tenant protections during and after public health emergencies, providing for legal representation in eviction cases, and authorizing landlord access to state rental assistance programs.","Kuderer, Liias, Conway, Das, Lovelett, Saldaña, Claire Wilson",No Requester,7,2
COVID-19 AND CORONAVIRUS,"Emergency orders, issued by governor, infringement on any constitutional rights by, prohibiting",https://app.leg.wa.gov/billsummary?BillNumber=1381&Year=2021&Initiative=false,HB 1381,HState Govt & T,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Limiting the governor's emergency powers, ensuring legislative balance of power, and regulating government agency emergency authority.","Kraft, Chase, Sutherland, Young, Walsh, McCaslin, Boehnke, Jacobsen, Orcutt, Klicker",No Requester,0,10
COVID-19 AND CORONAVIRUS,"Emergency orders, issued by governor, infringement on any constitutional rights by, prohibiting",https://app.leg.wa.gov/billsummary?BillNumber=5186&Year=2021&Initiative=false,SB 5186,SState Govt & E,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Ensuring that no gubernatorial emergency order may infringe on constitutional rights.,Fortunato,No Requester,0,1
COVID-19 AND CORONAVIRUS,"Emergency orders, issued by governor, legislative extension of certain orders",https://app.leg.wa.gov/billsummary?BillNumber=1381&Year=2021&Initiative=false,HB 1381,HState Govt & T,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Limiting the governor's emergency powers, ensuring legislative balance of power, and regulating government agency emergency authority.","Kraft, Chase, Sutherland, Young, Walsh, McCaslin, Boehnke, Jacobsen, Orcutt, Klicker",No Requester,0,10
COVID-19 AND CORONAVIRUS,"Emergency orders, issued by governor, legislative extension of certain orders",https://app.leg.wa.gov/billsummary?BillNumber=5943&Year=2021&Initiative=false,SB 5943,SState Govt & E,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Establishing balanced legislative oversight of gubernatorial powers during a declared emergency.,"Linda Wilson, Mullet, Braun, Dozier, Fortunato, Gildon, Holy, King, Padden, Rivers, Short, Wagoner, Warnick, Jeff Wilson",No Requester,2,13
COVID-19 AND CORONAVIRUS,"Emergency orders, issued by governor, school in-person learning as required option unless prohibited, when",https://app.leg.wa.gov/billsummary?BillNumber=5464&Year=2021&Initiative=false,SB 5464,SEL/K-12,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Requiring the option of in-person learning unless prohibited by the governor, secretary of health, or a local health officer.","Linda Wilson, Braun, Brown, Dozier, Muzzall, Padden, Wagoner, Jeff Wilson",No Requester,1,8
COVID-19 AND CORONAVIRUS,"Emergency orders, issued by governor, statutory changes in response to",https://app.leg.wa.gov/billsummary?BillNumber=5113&Year=2021&Initiative=false,SB 5113,SState Govt & E,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Making statutory changes to align with certain recent gubernatorial emergency orders to protect privacy, reduce regulatory burdens, and provide tax relief.",Fortunato,No Requester,0,1
COVID-19 AND CORONAVIRUS,"Emergency orders, limitations due to education modality metrics",https://app.leg.wa.gov/billsummary?BillNumber=5037&Year=2021&Initiative=false,SB 5037,SEL/K-12,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Establishing transparent school opening metrics tied to COVID-19 prevalence.,"Braun, Mullet, Brown, Dozier, Holy, King, Schoesler, Wagoner, Linda Wilson",No Requester,2,9
COVID-19 AND CORONAVIRUS,"Emergency orders, school in-person learning as required option unless prohibited, when",https://app.leg.wa.gov/billsummary?BillNumber=5464&Year=2021&Initiative=false,SB 5464,SEL/K-12,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Requiring the option of in-person learning unless prohibited by the governor, secretary of health, or a local health officer.","Linda Wilson, Braun, Brown, Dozier, Muzzall, Padden, Wagoner, Jeff Wilson",No Requester,1,8
COVID-19 AND CORONAVIRUS,"Emergency proclamations, civil penalties for activity/operations violations under, amnesty for and prohibition of",https://app.leg.wa.gov/billsummary?BillNumber=1547&Year=2021&Initiative=false,HB 1547,HState Govt & T,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Declaring an amnesty for all civil penalties imposed on Washington residents and businesses for the violation of any activity or condition regulated under the emergency proclamations issued in direct response to the novel coronavirus COVID-19.,"Chase, McCaslin, Orcutt, Sutherland, Young, Klicker",No Requester,0,6
COVID-19 AND CORONAVIRUS,"Emergency proclamations, civil penalties for activity/operations violations under, amnesty for and prohibition of",https://app.leg.wa.gov/billsummary?BillNumber=5469&Year=2021&Initiative=false,SB 5469,SState Govt & E,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Declaring an amnesty for all civil penalties imposed on Washington residents and businesses for the violation of any activity or condition regulated under the emergency proclamations issued in direct response to the novel coronavirus COVID-19.,"Padden, Honeyford, Linda Wilson",No Requester,1,4
COVID-19 AND CORONAVIRUS,"Emergency proclamations, content/duration/judicial review, and role of legislature",https://app.leg.wa.gov/billsummary?BillNumber=1029&Year=2021&Initiative=false,HB 1029,HState Govt & T,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning orders and rules during a state of emergency.,"Walsh, Klippert, Boehnke, Eslick, Young, Graham, Kraft, Barkis, Sutherland",No Requester,0,9
COVID-19 AND CORONAVIRUS,"Emergency proclamations, duration of, and role of legislature",https://app.leg.wa.gov/billsummary?BillNumber=1060&Year=2021&Initiative=false,HB 1060,HState Govt & T,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Requiring legislative approval to extend a gubernatorial proclamation of a state of emergency.,"Dent, Dufault, Caldier, Corry, Young, Graham, Rude, Jacobsen, Schmick",No Requester,0,9
COVID-19 AND CORONAVIRUS,"Emergency proclamations, duration of, and role of legislature",https://app.leg.wa.gov/billsummary?BillNumber=1381&Year=2021&Initiative=false,HB 1381,HState Govt & T,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Limiting the governor's emergency powers, ensuring legislative balance of power, and regulating government agency emergency authority.","Kraft, Chase, Sutherland, Young, Walsh, McCaslin, Boehnke, Jacobsen, Orcutt, Klicker",No Requester,0,10
COVID-19 AND CORONAVIRUS,"Emergency proclamations, duration of, and role of legislature",https://app.leg.wa.gov/billsummary?BillNumber=1557&Year=2021&Initiative=false,HB 1557,HState Govt & T,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Increasing legislative involvement in gubernatorial proclamations relating to a state of emergency.,"MacEwen, Chapman, Boehnke, Jacobsen, Ybarra, Dufault, Dent, Robertson, Goehner, Stokesbary, Griffey, Corry, Orcutt, Klicker, Young, Paul",No Requester,2,14
COVID-19 AND CORONAVIRUS,"Emergency proclamations, duration of, and role of legislature",https://app.leg.wa.gov/billsummary?BillNumber=5943&Year=2021&Initiative=false,SB 5943,SState Govt & E,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Establishing balanced legislative oversight of gubernatorial powers during a declared emergency.,"Linda Wilson, Mullet, Braun, Dozier, Fortunato, Gildon, Holy, King, Padden, Rivers, Short, Wagoner, Warnick, Jeff Wilson",No Requester,2,13
COVID-19 AND CORONAVIRUS,"Emergency proclamations, proclamation 21-14, to be deemed terminated and be rescinded by governor",https://app.leg.wa.gov/billsummary?BillNumber=5680&Year=2021&Initiative=false,SB 5680,"SLabor, Comm &","['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Restoring the jobs and volunteer positions of individuals who were terminated from employment despite exercising their personal medical and religious rights.,"McCune, Fortunato, Padden, Short, Wagoner, Jeff Wilson, Linda Wilson",No Requester,1,7
COVID-19 AND CORONAVIRUS,"Emergency rules, duration and adoption in sequence, and role of legislature",https://app.leg.wa.gov/billsummary?BillNumber=1013&Year=2021&Initiative=false,HB 1013,HState Govt & T,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Limiting the duration of emergency rules.,"Klippert, Eslick, Graham",No Requester,0,3
COVID-19 AND CORONAVIRUS,"Emergency rules, duration and adoption in sequence, and role of legislature",https://app.leg.wa.gov/billsummary?BillNumber=1158&Year=2021&Initiative=false,HB 1158,HState Govt & T,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Limiting unilateral actions by the executive branch in emergencies.,"Eslick, Ybarra, Dent, Sutherland",No Requester,0,4
COVID-19 AND CORONAVIRUS,"Emergency rules, duration and oral comment hearing",https://app.leg.wa.gov/billsummary?BillNumber=1029&Year=2021&Initiative=false,HB 1029,HState Govt & T,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning orders and rules during a state of emergency.,"Walsh, Klippert, Boehnke, Eslick, Young, Graham, Kraft, Barkis, Sutherland",No Requester,0,9
COVID-19 AND CORONAVIRUS,"Emergency shelter communities, temporary, sponsors/managing agencies/services/permits/responsibility plans",https://app.leg.wa.gov/billsummary?BillNumber=2085&Year=2021&Initiative=false,HB 2085,HLocal Govt,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning temporary emergency shelters.,"Wicks, Morgan",No Requester,2,0
COVID-19 AND CORONAVIRUS,"Emergency shelter communities, temporary, sponsors/managing agencies/services/permits/responsibility plans",https://app.leg.wa.gov/billsummary?BillNumber=5923&Year=2021&Initiative=false,Substitute - SSB 5923,SRules X,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning temporary emergency shelters.,"Robinson, Nguyen",No Requester,2,0
COVID-19 AND CORONAVIRUS,"Emergency, rule making during, limitation due to education modality metrics",https://app.leg.wa.gov/billsummary?BillNumber=5037&Year=2021&Initiative=false,SB 5037,SEL/K-12,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Establishing transparent school opening metrics tied to COVID-19 prevalence.,"Braun, Mullet, Brown, Dozier, Holy, King, Schoesler, Wagoner, Linda Wilson",No Requester,2,9
COVID-19 AND CORONAVIRUS,"Employees, frontline, DOL driver licensing employees with in-person interaction as, for workers' compensation",https://app.leg.wa.gov/billsummary?BillNumber=5875&Year=2021&Initiative=false,SB 5875,C 290 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Adding employees employed by the department of licensing who are assigned to review, process, approve, and issue driver licenses to the definition of frontline employees under the health emergency labor standards act.","Nguyen, Lovelett, Lovick, Nobles, Stanford, Claire Wilson",No Requester,6,2
COVID-19 AND CORONAVIRUS,"Employees, frontline, for workers' compensation purposes, list of",https://app.leg.wa.gov/billsummary?BillNumber=5115&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5115,C 252 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Establishing health emergency labor standards.,"Keiser, Liias, Conway, Kuderer, Lovelett, Nguyen, Salomon, Stanford, Claire Wilson",No Requester,9,2
COVID-19 AND CORONAVIRUS,"Employees, frontline, for workers' compensation purposes, list of",https://app.leg.wa.gov/billsummary?BillNumber=5115&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5115,C 252 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Establishing health emergency labor standards.,"Keiser, Liias, Conway, Kuderer, Lovelett, Nguyen, Salomon, Stanford, Claire Wilson",No Requester,9,2
COVID-19 AND CORONAVIRUS,"Employees, frontline, for workers' compensation purposes, list of",https://app.leg.wa.gov/billsummary?BillNumber=5875&Year=2021&Initiative=false,SB 5875,C 290 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Adding employees employed by the department of licensing who are assigned to review, process, approve, and issue driver licenses to the definition of frontline employees under the health emergency labor standards act.","Nguyen, Lovelett, Lovick, Nobles, Stanford, Claire Wilson",No Requester,6,2
COVID-19 AND CORONAVIRUS,"Employees, health care, unemployment and workers' compensation benefits, when",https://app.leg.wa.gov/billsummary?BillNumber=5190&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5190,C 251 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Providing health care workers with presumptive benefits during a public health emergency.,"Holy, Frockt, Conway, Hasegawa, Honeyford, Keiser, King, Lovelett, Randall, Salomon, Van De Wege, Warnick, Claire Wilson, Jeff Wilson",No Requester,9,6
COVID-19 AND CORONAVIRUS,"Employees, health care, unemployment and workers' compensation benefits, when",https://app.leg.wa.gov/billsummary?BillNumber=5190&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5190,C 251 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Providing health care workers with presumptive benefits during a public health emergency.,"Holy, Frockt, Conway, Hasegawa, Honeyford, Keiser, King, Lovelett, Randall, Salomon, Van De Wege, Warnick, Claire Wilson, Jeff Wilson",No Requester,9,6
COVID-19 AND CORONAVIRUS,"Employees, lower paid frontline, health emergency pay for",https://app.leg.wa.gov/billsummary?BillNumber=5115&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5115,C 252 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Establishing health emergency labor standards.,"Keiser, Liias, Conway, Kuderer, Lovelett, Nguyen, Salomon, Stanford, Claire Wilson",No Requester,9,2
COVID-19 AND CORONAVIRUS,"Employees, pandemic leave assistance employee and employer grants, when",https://app.leg.wa.gov/billsummary?BillNumber=1073&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1073,C 109 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Expanding coverage of the paid family and medical leave program.,"Berry, Wicks, Fitzgibbon, Bateman, Tharinger, Simmons, Kloba, Ramel, Ortiz-Self, Goodman, Ryu, Bronoske, Hackney, Chopp, Riccelli, Stonier, Frame, Macri, Davis, Pollet, Bergquist, Harris-Talley",No Requester,22,1
COVID-19 AND CORONAVIRUS,"Employees, secondary traumatic stress in K-12 workforce, model policy/procedure to prevent/address",https://app.leg.wa.gov/billsummary?BillNumber=1363&Year=2021&Initiative=false,Substitute - SHB 1363,C 129 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Addressing secondary trauma in the K-12 workforce.,"Ortiz-Self, Callan, Davis, Ramos, Simmons, Berg, Morgan, Bergquist, Harris-Talley, Pollet",No Requester,10,1
COVID-19 AND CORONAVIRUS,"Employees, secondary traumatic stress in K-12 workforce, model policy/procedure to prevent/address",https://app.leg.wa.gov/billsummary?BillNumber=1363&Year=2021&Initiative=false,Substitute - SHB 1363,C 129 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Addressing secondary trauma in the K-12 workforce.,"Ortiz-Self, Callan, Davis, Ramos, Simmons, Berg, Morgan, Bergquist, Harris-Talley, Pollet",No Requester,10,1
COVID-19 AND CORONAVIRUS,"Employees, state, working from home, necessary expenditures reimbursement and social use of state internet",https://app.leg.wa.gov/billsummary?BillNumber=5395&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SSB 5395,SRules X,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning use of state resources during periods where state employees are required to work from home.,"Hunt, Dhingra, Hasegawa, Kuderer, Nguyen, Nobles, Randall, Saldaña, Wellman, Claire Wilson",No Requester,10,2
COVID-19 AND CORONAVIRUS,"Employees, state, working from home, necessary expenditures reimbursement and social use of state internet",https://app.leg.wa.gov/billsummary?BillNumber=5395&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SSB 5395,SRules X,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning use of state resources during periods where state employees are required to work from home.,"Hunt, Dhingra, Hasegawa, Kuderer, Nguyen, Nobles, Randall, Saldaña, Wellman, Claire Wilson",No Requester,10,2
COVID-19 AND CORONAVIRUS,"Employees, state, working from home, necessary expenditures reimbursement and social use of state internet",https://app.leg.wa.gov/billsummary?BillNumber=5395&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SSB 5395,SRules X,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning use of state resources during periods where state employees are required to work from home.,"Hunt, Dhingra, Hasegawa, Kuderer, Nguyen, Nobles, Randall, Saldaña, Wellman, Claire Wilson",No Requester,10,2
COVID-19 AND CORONAVIRUS,"Employees, state, working from home, remote working environment work group, establishing",https://app.leg.wa.gov/billsummary?BillNumber=5395&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SSB 5395,SRules X,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning use of state resources during periods where state employees are required to work from home.,"Hunt, Dhingra, Hasegawa, Kuderer, Nguyen, Nobles, Randall, Saldaña, Wellman, Claire Wilson",No Requester,10,2
COVID-19 AND CORONAVIRUS,"Employees, state, working from home, remote working environment work group, establishing",https://app.leg.wa.gov/billsummary?BillNumber=5395&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SSB 5395,SRules X,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning use of state resources during periods where state employees are required to work from home.,"Hunt, Dhingra, Hasegawa, Kuderer, Nguyen, Nobles, Randall, Saldaña, Wellman, Claire Wilson",No Requester,10,2
COVID-19 AND CORONAVIRUS,"Employees, wage liens for wage claims, Washington wage recovery act",https://app.leg.wa.gov/billsummary?BillNumber=1369&Year=2021&Initiative=false,HB 1369,HLabor & Workpl,"['1', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Establishing wage liens.,"Bronoske, Sells, Davis, Ryu, Fey, Fitzgibbon, Gregerson, Simmons, Berry, Wicks, Bateman, Goodman, Macri, Ramel, Harris-Talley, Pollet",No Requester,16,1
COVID-19 AND CORONAVIRUS,"Employees, wage liens for wage claims, Washington wage recovery act",https://app.leg.wa.gov/billsummary?BillNumber=5355&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5355,C 102 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Establishing wage liens.,Conway,No Requester,1,0
COVID-19 AND CORONAVIRUS,"Employees, wage liens for wage claims, Washington wage recovery act",https://app.leg.wa.gov/billsummary?BillNumber=5355&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5355,C 102 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Establishing wage liens.,Conway,No Requester,1,0
COVID-19 AND CORONAVIRUS,"Employers, infectious/contagious disease reporting requirements",https://app.leg.wa.gov/billsummary?BillNumber=5115&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5115,C 252 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Establishing health emergency labor standards.,"Keiser, Liias, Conway, Kuderer, Lovelett, Nguyen, Salomon, Stanford, Claire Wilson",No Requester,9,2
COVID-19 AND CORONAVIRUS,"Employers, infectious/contagious disease reporting requirements",https://app.leg.wa.gov/billsummary?BillNumber=5115&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5115,C 252 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Establishing health emergency labor standards.,"Keiser, Liias, Conway, Kuderer, Lovelett, Nguyen, Salomon, Stanford, Claire Wilson",No Requester,9,2
COVID-19 AND CORONAVIRUS,"Employers, meeting paid sick or emergency child care leave requirements, tax credits for",https://app.leg.wa.gov/billsummary?BillNumber=5115&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5115,C 252 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Establishing health emergency labor standards.,"Keiser, Liias, Conway, Kuderer, Lovelett, Nguyen, Salomon, Stanford, Claire Wilson",No Requester,9,2
COVID-19 AND CORONAVIRUS,"Employers, pandemic leave assistance employee and employer grants, when",https://app.leg.wa.gov/billsummary?BillNumber=1073&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1073,C 109 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Expanding coverage of the paid family and medical leave program.,"Berry, Wicks, Fitzgibbon, Bateman, Tharinger, Simmons, Kloba, Ramel, Ortiz-Self, Goodman, Ryu, Bronoske, Hackney, Chopp, Riccelli, Stonier, Frame, Macri, Davis, Pollet, Bergquist, Harris-Talley",No Requester,22,1
